"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000251562",0,25.3286404578133,0.987,0,0
"TNNI1",0,-8.89698062942755,0.018,0.911,0
"TMSB10",0,-7.27496333741888,0.02,0.91,0
"RPL3",0,-6.93806761155306,0.052,0.938,0
"RPS4X",0,-6.21108959382659,0.081,0.947,0
"RPS18",0,-6.09935648047947,0.101,0.953,0
"RPL32",0,-5.90761908864353,0.115,0.957,0
"SNHG29",0,-21.1610255177396,0,0.841,0
"RPS15A",0,-6.36018282158748,0.084,0.922,0
"RPL26",0,-6.15220164851693,0.087,0.924,0
"RPS12",0,-5.93450273692662,0.107,0.944,0
"RPS2",0,-6.04592530569676,0.135,0.969,0
"RPS19",0,-5.93368101951743,0.092,0.922,0
"RPL34",0,-5.63822922583371,0.12,0.949,0
"ALDOA",0,-8.14272436117977,0.032,0.858,0
"RPL28",0,-5.87979509754702,0.093,0.916,0
"RPL37",0,-6.03531724321876,0.096,0.918,0
"RPS23",0,-5.85671379023086,0.124,0.946,0
"RPS6",0,-5.5994001136698,0.112,0.93,0
"RPL36A",0,-7.09809696201138,0.045,0.861,0
"RPL36",0,-5.90986445018508,0.074,0.889,0
"RPL11",0,-5.5628341924867,0.134,0.949,0
"RPS27A",0,-5.55138565023739,0.102,0.915,0
"RPS3",0,-5.95238752722813,0.111,0.924,0
"PDE3A",0,5.64289543993371,0.894,0.082,0
"RPS15",0,-5.52922111863665,0.112,0.921,0
"RPL15",0,-5.7768956987667,0.114,0.92,0
"RPL8",0,-5.51681913134736,0.139,0.945,0
"RPS8",0,-5.87889600895415,0.137,0.943,0
"RPL18A",0,-5.80413139845178,0.082,0.886,0
"MT-RNR2",0,-23.618122617807,0,0.803,0
"RPS27",0,-5.70779532001341,0.16,0.963,0
"RPS3A",0,-5.78622137926716,0.128,0.928,0
"AC104389.6",0,-21.9423784050434,0,0.8,0
"RPL12",0,-5.64634385943988,0.104,0.903,0
"RPL35",0,-5.45447213973624,0.097,0.896,0
"EEF1G",0,-6.81103234398557,0.069,0.867,0
"RPL29",0,-5.72410201575381,0.081,0.879,0
"RPL35A",0,-5.53283815565694,0.12,0.917,0
"RPS14",0,-5.47697106292479,0.138,0.935,0
"MALAT1",0,-24.0850402080507,0,0.797,0
"RPS24",0,-5.62776065656322,0.152,0.946,0
"RPL17",0,-6.50511363951598,0.091,0.882,0
"HBA2",0,-9.72903471639552,0.003,0.792,0
"RPS5",0,-5.82494472226751,0.067,0.855,0
"RPLP1",0,-5.42053973327162,0.201,0.987,0
"RPL19",0,-5.26773098779552,0.113,0.896,0
"RPL13",0,-5.39528137581752,0.183,0.966,0
"RPL23A",0,-5.28343934942629,0.117,0.895,0
"SGCD",0,5.50322540141505,0.898,0.121,0
"RPL37A",0,-5.21388164295645,0.186,0.961,0
"RPL18",0,-5.60677916680307,0.093,0.864,0
"RPS7",0,-5.59834193611489,0.098,0.865,0
"RPS29",0,-5.33089769255463,0.118,0.884,0
"RACK1",0,-5.65997929465831,0.105,0.87,0
"RPL30",0,-5.34375406459907,0.104,0.868,0
"RPL10A",0,-5.53305159920817,0.109,0.872,0
"RPL7A",0,-5.57730228245071,0.112,0.875,0
"RPS9",0,-5.21593665735636,0.119,0.879,0
"RPL14",0,-5.29565544607001,0.104,0.862,0
"RPS21",0,-6.1450141269632,0.049,0.806,0
"RPLP2",0,-5.00806733559951,0.145,0.897,0
"RPL38",0,-5.19634287301206,0.09,0.841,0
"RPS13",0,-5.08675646850074,0.11,0.859,0
"MYL4",0,-3.81997452599004,0.199,0.948,0
"RPL27",0,-5.30119780204977,0.079,0.825,0
"RPS28",0,-5.05406184788874,0.149,0.895,0
"RPL9",0,-5.15952014481425,0.107,0.848,0
"RPL21",0,-4.8157055906096,0.178,0.917,0
"VIM",0,-8.10752596541829,0.01,0.749,0
"PXDNL",0,6.23928259375827,0.779,0.043,0
"RPS10",0,-6.65869599400317,0.041,0.777,0
"CD36",0,5.02719260928966,0.842,0.109,0
"NEAT1",0,5.08720592482839,0.95,0.217,0
"RPL7",0,-5.18082848711785,0.107,0.839,0
"CDH13",0,4.89448545706514,0.832,0.102,0
"RPL10",0,-5.28479877229756,0.254,0.981,0
"ENSG00000227028",0,17.8205971582571,0.726,0,0
"RPLP0",0,-5.19689850049336,0.095,0.819,0
"RPL4",0,-5.42398460602701,0.085,0.805,0
"RPS16",0,-4.81136124521552,0.158,0.878,0
"RPL24",0,-4.91393344763144,0.152,0.868,0
"MDK",0,-11.8313049327274,0.001,0.715,0
"SORBS1",0,4.31400742535121,0.901,0.187,0
"FAU",0,-4.83923420040661,0.102,0.815,0
"RPS25",0,-4.67171092548257,0.134,0.847,0
"RPL6",0,-5.15907060647015,0.114,0.823,0
"TTN-AS1",0,6.04953860192077,0.82,0.111,0
"RPL13A",0,-4.83419353499629,0.157,0.863,0
"TPT1",0,-4.60403785632213,0.209,0.914,0
"ATP5MD",0,-20.2401650062373,0,0.705,0
"RPL27A",0,-4.75849960322989,0.13,0.83,0
"ATP5MPL",0,-20.0491875876931,0,0.7,0
"PRKG1",0,3.81877435294249,0.869,0.17,0
"PDE4DIP",0,4.43260365618698,0.904,0.209,0
"UBA52",0,-4.972480147664,0.07,0.765,0
"CCSER1",0,5.96231143254593,0.73,0.038,0
"RPL23",0,-4.80748350982448,0.104,0.794,0
"RPL5",0,-4.85837180474155,0.211,0.893,0
"RPSA",0,-5.07606264730023,0.119,0.8,0
"EEF1A1",0,-4.52947411679731,0.073,0.751,0
"PDE1C",0,5.31298529097408,0.749,0.072,0
"ZBTB20",0,3.81813507061134,0.862,0.185,0
"TMEM178B",0,9.28767596530696,0.678,0.003,0
"HBA1",0,-9.85739113124775,0.002,0.67,0
"RPS11",0,-4.59474384797116,0.095,0.763,0
"CDIN1",0,17.7628030569335,0.667,0,0
"NME2",0,-6.83615749112843,0.035,0.699,0
"GAPDH",0,-4.95412294163863,0.307,0.968,0
"PRKN",0,3.80747449699058,0.825,0.166,0
"YBX1",0,-4.88230904906561,0.158,0.817,0
"ATP5F1E",0,-4.18713059663238,0.147,0.8,0
"MYOM2",0,4.34861697764086,0.78,0.127,0
"TENM2",0,5.25079463057114,0.695,0.042,0
"FTH1",0,-3.96408342299955,0.284,0.936,0
"PPDPF",0,-4.90930533755114,0.079,0.725,0
"SRP14",0,-4.81233057945607,0.098,0.742,0
"PTMA",0,-4.8855596755328,0.091,0.734,0
"MLIP",0,4.09764475524398,0.916,0.275,0
"TUBB",0,-5.9596773419979,0.051,0.692,0
"TMSB4X",0,-5.25578778567921,0.021,0.658,0
"RPL31",0,-4.64789715439776,0.19,0.822,0
"ENSG00000229618",0,17.5693057934888,0.628,0,0
"STMN1",0,-8.69605586652688,0.007,0.631,0
"EEF2",0,-4.41208718886738,0.13,0.75,0
"TPI1",0,-4.40047106090322,0.139,0.756,0
"BTF3",0,-4.96080215165713,0.075,0.691,0
"CFL1",0,-5.25550089497428,0.047,0.663,0
"COX8A",0,-4.41402047538236,0.097,0.71,0
"PCDH9",0,3.80145646478092,0.719,0.107,0
"PLCL1",0,3.6601699760083,0.785,0.174,0
"TUBA1B",0,-6.34138564797613,0.042,0.653,0
"LDHA",0,-5.20894715764432,0.089,0.699,0
"PDZD2",0,3.97574345635224,0.734,0.127,0
"MT-RNR1",0,-21.9342663878253,0,0.604,0
"SYNPO2",0,4.57314398946462,0.665,0.063,0
"NPPA",0,-1.85810603140271,0.193,0.793,0
"RPL39",0,-4.13474177153837,0.074,0.674,0
"ATP5MC2",0,-4.10818057355908,0.169,0.769,0
"NRAP",0,6.2125156738999,0.628,0.028,0
"NIBAN1",0,4.45400334652281,0.663,0.064,0
"PFN1",0,-5.45210537870276,0.04,0.638,0
"PDE7A",0,3.45257756617092,0.756,0.159,0
"RPL41",0,-3.73803288308263,0.202,0.798,0
"RPS26",0,-4.82044677055566,0.099,0.694,0
"COX7C",0,-3.7163811134246,0.271,0.864,0
"CBLB",0,3.76682042559935,0.732,0.142,0
"ENSG00000260658",0,17.0008775311267,0.589,0,0
"CMYA5",0,2.62555927907282,0.873,0.287,0
"OST4",0,-4.57488927882865,0.067,0.653,0
"PATJ",0,4.09088881826292,0.68,0.095,0
"DST",0,2.71884524940907,0.818,0.233,0
"EEF1B2",0,-5.12225362023788,0.059,0.643,0
"DLG2",0,2.50140510522017,0.835,0.252,0
"MYOM3",0,10.0622443642117,0.585,0.002,0
"LIMCH1",0,3.62271223905382,0.678,0.096,0
"SERF2",0,-3.7015345092429,0.217,0.799,0
"DTNA",0,3.44063046502066,0.797,0.217,0
"THSD4",0,2.77560753149226,0.808,0.231,0
"NACA",0,-4.32684980868294,0.193,0.77,0
"LAMA2",0,2.99002220836789,0.918,0.343,0
"UQCR11",0,-3.8959123041616,0.125,0.7,0
"RBFOX1",0,3.08022860822899,0.751,0.179,0
"COX6B1",0,-3.7107941464151,0.211,0.782,0
"LARGE1",0,2.58141461532209,0.805,0.234,0
"DYNLL1",0,-4.81123203586811,0.074,0.644,0
"CRIP1",0,-8.27029631525409,0.005,0.575,0
"TNNC1",0,-3.91610454612446,0.391,0.961,0
"ABLIM1",0,3.12734233117054,0.922,0.353,0
"ELOB",0,-4.36893952417966,0.074,0.643,0
"LOC349160",0,16.9037441404309,0.568,0,0
"HINT1",0,-4.34079713737058,0.1,0.667,0
"NDUFS5",0,-3.70294568475615,0.161,0.728,0
"FTX",0,2.88473001914605,0.773,0.207,0
"TRDN-AS1",0,3.29787540184382,0.803,0.238,0
"AC020909.2",0,-19.9982318011004,0,0.565,0
"ZBTB16",0,5.09700626761166,0.622,0.061,0
"SLC25A5",0,-4.77823370093655,0.075,0.635,0
"ENSG00000153113",0,16.4791313186285,0.559,0,0
"MYL7",0,-4.05706645567778,0.434,0.992,0
"RGS6",0,4.15025964384621,0.628,0.07,0
"RPS20",0,-3.79245858713697,0.137,0.695,0
"SGCG",0,5.37454578926395,0.599,0.041,0
"CACNA1C",0,2.91820046975873,0.934,0.377,0
"TRDN",0,3.06611177552564,0.865,0.309,0
"FTL",0,-3.51827911860614,0.12,0.675,0
"MAGI1",0,2.48609053955992,0.837,0.283,0
"UBB",0,-4.15891791102157,0.09,0.644,0
"RCAN2",0,3.49104606587982,0.767,0.214,0
"COX6C",0,-3.59119472734636,0.203,0.756,0
"PFDN5",0,-3.71004265887769,0.131,0.683,0
"PHACTR1",0,3.25772218915923,0.681,0.129,0
"ATP5ME",0,-3.57731397426161,0.226,0.777,0
"PTPRM",0,2.68832412586303,0.775,0.228,0
"GABARAP",0,-5.36699258272853,0.049,0.596,0
"UQCR10",0,-3.68784073164081,0.151,0.698,0
"CFLAR",0,3.22298423690891,0.716,0.17,0
"NDUFA4",0,-3.1409633678328,0.266,0.81,0
"NPM1",0,-4.47550286249388,0.115,0.659,0
"FRY",0,2.8445225824058,0.76,0.223,0
"UBL5",0,-4.13228745976454,0.074,0.611,0
"COMMD6",0,-4.64963964210062,0.065,0.602,0
"ATP5MF",0,-4.4179434500271,0.068,0.604,0
"KANK1",0,2.93094440589941,0.739,0.203,0
"AOPEP",0,2.79841687703598,0.795,0.26,0
"RALYL",0,6.24510508360907,0.545,0.01,0
"PLCXD3",0,2.65276420273967,0.771,0.238,0
"GAS5",0,-19.0589705951398,0,0.533,0
"LRRTM3",0,3.04153035217607,0.697,0.165,0
"SEC61G",0,-4.86338120071829,0.043,0.575,0
"DMD",0,3.12609187565289,0.916,0.385,0
"EXOC6B",0,2.37866403347165,0.819,0.289,0
"FHIT",0,2.66267875505064,0.757,0.227,0
"ACACB",0,3.50547060247703,0.664,0.135,0
"PRDX5",0,-4.10432558078799,0.073,0.602,0
"CACNB2",0,2.17819221093332,0.887,0.359,0
"AKAP13",0,2.08223255429565,0.87,0.344,0
"AKAP6",0,2.13625562749933,0.823,0.297,0
"PDZRN3",0,2.90960447573402,0.735,0.21,0
"NEXN",0,2.90075425230083,0.91,0.386,0
"SNHG6",0,-18.9040862300545,0,0.523,0
"TOMM7",0,-3.68531429286354,0.097,0.619,0
"MYL6",0,-3.60409788531668,0.392,0.913,0
"DPY19L2",0,2.69915979721907,0.718,0.197,0
"MIF",0,-5.55881268870962,0.036,0.556,0
"RBM20",0,2.12501552257357,0.881,0.361,0
"UQCRQ",0,-3.37428961940508,0.173,0.692,0
"UQCRB",0,-2.75019417599182,0.257,0.775,0
"CTNNA3",0,2.23962627394337,0.925,0.411,0
"EEF1D",0,-3.41174328723545,0.193,0.707,0
"MT-ND4",0,-4.10071333834524,0.187,0.7,0
"CKMT2",0,2.9211221421406,0.747,0.235,0
"GNG5",0,-3.9160119217459,0.139,0.651,0
"POLR2L",0,-3.77815007386156,0.095,0.605,0
"SOX6",0,2.59940825215268,0.694,0.184,0
