"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MALAT1",0,-25.5274199466353,0,0.999,0
"ENSG00000251562",0,25.7283172043975,0.987,0,0
"H3F3A",0,-21.0171911373491,0,0.979,0
"MDK",0,-12.6418066105842,0.001,0.966,0
"RPL3",0,-6.86684077816865,0.052,0.992,0
"VIM",0,-8.65470438451932,0.01,0.946,0
"EEF1A1",0,-6.89178401919574,0.073,0.998,0
"RPS21",0,-6.24118704976743,0.049,0.966,0
"TMSB10",0,-6.24152271255119,0.02,0.935,0
"RPL36",0,-5.90559081406339,0.074,0.988,0
"RPL39",0,-5.7983274949049,0.074,0.988,0
"KRT18",0,-10.9033155482307,0.003,0.912,0
"ATP5MPL",0,-19.2356277985269,0,0.909,0
"RPL18A",0,-5.88760840327946,0.082,0.989,0
"RPS5",0,-5.74538325125107,0.067,0.974,0
"RPL29",0,-5.85243145043843,0.081,0.987,0
"MIF",0,-7.36984658089095,0.036,0.94,0
"RPS15A",0,-5.92978568109445,0.084,0.987,0
"ATP5MD",0,-19.2719841949673,0,0.903,0
"RPL26",0,-5.85994488066413,0.087,0.989,0
"RPS4X",0,-5.38819605007126,0.081,0.982,0
"RPS19",0,-6.40665021180873,0.092,0.992,0
"UBA52",0,-5.0131616882648,0.07,0.97,0
"RPL28",0,-5.93764810095383,0.093,0.99,0
"RPL37",0,-5.94114845458692,0.096,0.992,0
"PFN1",0,-5.60183802710038,0.04,0.934,0
"EEF1B2",0,-5.46546768171705,0.059,0.953,0
"RPL36A",0,-6.74261101564897,0.045,0.939,0
"RPL18",0,-5.94460768537918,0.093,0.985,0
"RPS18",0,-6.1398614998705,0.101,0.993,0
"RPL27",0,-4.80918709750006,0.079,0.969,0
"RPL35",0,-5.20177839735564,0.097,0.987,0
"H3F3B",0,-19.7487049459892,0,0.89,0
"PTMA",0,-5.97015848936776,0.091,0.98,0
"RPLP0",0,-5.90498002984085,0.095,0.984,0
"RPL38",0,-4.8663570027912,0.09,0.978,0
"RPS27A",0,-5.64007282194374,0.102,0.99,0
"PPIA",0,-5.23471362449956,0.072,0.959,0
"RPS11",0,-5.27013415842628,0.095,0.981,0
"RPS7",0,-5.58996641182289,0.098,0.984,0
"CFL1",0,-5.21220588646474,0.047,0.932,0
"COX6A1",0,-6.16703497180612,0.032,0.917,0
"RPS12",0,-5.66432198085194,0.107,0.991,0
"SGCD",0,10.8784054579206,0.898,0.014,0
"SRP14",0,-5.18339419670294,0.098,0.98,0
"RPL12",0,-5.47039683175529,0.104,0.985,0
"RPL14",0,-5.30560998606881,0.104,0.985,0
"RPL30",0,-5.28741859565021,0.104,0.985,0
"RPL4",0,-4.98696479825935,0.085,0.964,0
"RPL9",0,-5.32755582908535,0.107,0.986,0
"TNNI1",0,-8.44267697645387,0.018,0.897,0
"RPL7A",0,-5.89122828648425,0.112,0.99,0
"NCL",0,-5.29137075844465,0.067,0.945,0
"RACK1",0,-5.52171168466769,0.105,0.982,0
"RPL23",0,-5.26410905813752,0.104,0.981,0
"RPL6",0,-5.81232366750367,0.114,0.991,0
"RPS15",0,-5.33614562891819,0.112,0.989,0
"KRT8",0,-6.82132666039213,0.034,0.91,0
"MT-ND5",0,-5.57315404852643,0.105,0.981,0
"RPL32",0,-5.36253971489208,0.115,0.991,0
"RPL15",0,-5.54385345877339,0.114,0.989,0
"RPL22",0,-5.08056207720035,0.104,0.979,0
"RPS6",0,-5.21641695432844,0.112,0.986,0
"FAU",0,-4.73880263699776,0.102,0.975,0
"RPL19",0,-5.16003241605198,0.113,0.986,0
"RPS26",0,-5.19215597574183,0.099,0.972,0
"RPS29",0,-5.66069583232673,0.118,0.991,0
"RPS3",0,-5.66915128076858,0.111,0.984,0
"BTF3",0,-4.79320331317667,0.075,0.947,0
"RPL10A",0,-5.41677803965667,0.109,0.981,0
"RPL34",0,-5.17603034662601,0.12,0.99,0
"RPL7",0,-5.05004145519287,0.107,0.977,0
"RPS13",0,-4.87304162217807,0.11,0.98,0
"RPL35A",0,-5.2929389586672,0.12,0.988,0
"RPS23",0,-5.71685079466336,0.124,0.992,0
"MT-ND4L",0,-5.2399421722983,0.055,0.92,0
"RPS3A",0,-5.48385238626376,0.128,0.992,0
"RPS9",0,-5.31880441067328,0.119,0.983,0
"RPL23A",0,-4.54082111471263,0.117,0.978,0
"RPSA",0,-5.40186951082598,0.119,0.98,0
"SET",0,-5.11877740589098,0.062,0.922,0
"APOE",0,-8.40240968572564,0.005,0.865,0
"RPS2",0,-6.13664264473753,0.135,0.995,0
"RPL11",0,-5.45623094304564,0.134,0.993,0
"PRDX2",0,-4.56011071982895,0.085,0.942,0
"RPS8",0,-6.25264477403622,0.137,0.994,0
"VCAN",0,-8.37075089165273,0.007,0.863,0
"ELOB",0,-4.10618442662802,0.074,0.929,0
"RAN",0,-5.31414709465903,0.034,0.889,0
"NPM1",0,-5.25220950413146,0.115,0.968,0
"RPS14",0,-5.55729341589086,0.138,0.99,0
"RPS17",0,-5.78120506354145,0.067,0.918,0
"RPL8",0,-5.11788992699692,0.139,0.989,0
"RPL27A",0,-4.73869894246584,0.13,0.979,0
"PTMS",0,-6.55765718443437,0.013,0.86,0
"RPS25",0,-4.59962020351797,0.134,0.981,0
"UBL5",0,-4.03206775443866,0.074,0.917,0
"RPS28",0,-5.50471734211563,0.149,0.992,0
"DYNLL1",0,-4.77442319709492,0.074,0.916,0
"RPLP2",0,-5.01891790859011,0.145,0.987,0
"RPS24",0,-5.34042103882406,0.152,0.994,0
"TUBB",0,-5.4117659771017,0.051,0.891,0
"CSRP2",0,-7.28214923517957,0.016,0.854,0
"ATP5MF",0,-4.27554290922021,0.068,0.905,0
"RPL13A",0,-5.07747565372638,0.157,0.992,0
"RPS20",0,-4.5335744534656,0.137,0.972,0
"GSTP1",0,-4.41748384831021,0.093,0.927,0
"RPS27",0,-5.37277214329718,0.16,0.994,0
"RPL24",0,-4.79990611145895,0.152,0.985,0
"SUMO2",0,-4.36988585523002,0.07,0.903,0
"HSPD1",0,-4.59922733825009,0.122,0.953,0
"STMN1",0,-7.87607853799671,0.007,0.836,0
"HINT1",0,-4.05990945138494,0.1,0.928,0
"ATP5F1E",0,-3.95830637936622,0.147,0.974,0
"RPL36AL",0,-4.07725515757776,0.057,0.884,0
"SLC25A6",0,-4.17526137735332,0.118,0.945,0
"UBB",0,-3.93641136731989,0.09,0.915,0
"RPS16",0,-4.65244721241384,0.158,0.983,0
"FTL",0,-4.48819367420587,0.12,0.943,0
"IFITM3",0,-5.32437715190441,0.022,0.844,0
"TUBA1B",0,-5.73365820392322,0.042,0.864,0
"NME4",0,-5.08407994963858,0.038,0.859,0
"EEF2",0,-3.95577595408287,0.13,0.95,0
"TPI1",0,-4.16666320487822,0.139,0.958,0
"H2AFZ",0,-19.2141571713237,0,0.817,0
"OST4",0,-4.00348170474399,0.067,0.883,0
"CD36",0,8.90778372700544,0.842,0.026,0
"SSR4",0,-4.59636121628216,0.042,0.857,0
"BEX3",0,-3.94649201379141,0.118,0.932,0
"ENO1",0,-4.76737931033624,0.143,0.957,0
"YBX1",0,-4.02841245822863,0.158,0.971,0
"RPL13",0,-5.4309441215241,0.183,0.995,0
"NEDD8",0,-4.51246746801919,0.052,0.864,0
"MT-ND1",0,-4.4661635720674,0.179,0.99,0
"MT-ND2",0,-4.25993569311838,0.175,0.986,0
"PRDX5",0,-3.77092226386184,0.073,0.882,0
"HIST1H4C",0,-20.0856795045132,0,0.809,0
"MT-ND4",0,-5.03693612741387,0.187,0.996,0
"PFDN5",0,-3.46769246795797,0.131,0.94,0
"RPL21",0,-4.5524376312137,0.178,0.987,0
"RPL37A",0,-5.04432203678828,0.186,0.995,0
"PRDX1",0,-4.61801363707996,0.081,0.888,0
"TOMM7",0,-3.3791976629554,0.097,0.902,0
"HNRNPA1",0,-4.18615963561122,0.14,0.945,0
"TMA7",0,-3.50272210896564,0.109,0.912,0
"SNRPD2",0,-4.27582965756651,0.048,0.851,0
"MT-ND3",0,-4.69468720010452,0.192,0.994,0
"SERBP1",0,-4.16076895945235,0.154,0.955,0
"NDUFA11",0,-3.69695643699677,0.093,0.893,0
"FGF12",0,8.15301423462709,0.922,0.123,0
"HSP90B1",0,-4.5313314685971,0.129,0.928,0
"ST13",0,-3.93590765387271,0.115,0.914,0
"TOMM20",0,-3.89959896359169,0.085,0.883,0
"GPX4",0,-3.41140512357469,0.091,0.888,0
"LDHA",0,-4.92731150830094,0.089,0.886,0
"NDUFB11",0,-3.65952190031651,0.081,0.877,0
"SLC25A5",0,-3.98995567743594,0.075,0.871,0
"OAZ1",0,-3.547547586275,0.093,0.888,0
"PDE3A",0,7.72583652065157,0.894,0.099,0
"RPLP1",0,-5.06386831550689,0.201,0.996,0
"RPL41",0,-5.44567609615142,0.202,0.996,0
"RPL17",0,-6.29343708494775,0.091,0.884,0
"C4orf3",0,-18.6118292992951,0,0.793,0
"TMEM14C",0,-4.49466296201959,0.046,0.839,0
"NDUFS5",0,-3.39404861564257,0.161,0.953,0
"NPC2",0,-5.22382195626503,0.032,0.824,0
"PRKN",0,8.48889744719911,0.825,0.033,0
"GNG5",0,-3.90811977955909,0.139,0.93,0
"COMMD6",0,-3.9352001011445,0.065,0.856,0
"EID1",0,-3.55153777872789,0.109,0.899,0
"HSPE1",0,-4.28617598571373,0.082,0.871,0
"CALR",0,-4.60528791666329,0.071,0.859,0
"NACA",0,-4.62512101098459,0.193,0.981,0
"H2AFY",0,-18.2671400679307,0,0.788,0
"COX8A",0,-3.47405815836203,0.097,0.884,0
"KRT19",0,-10.3153612622428,0.001,0.788,0
"HSP90AB1",0,-4.89817224350465,0.195,0.982,0
"CD63",0,-3.5076335015077,0.132,0.917,0
"HSBP1",0,-3.88001807736074,0.062,0.846,0
"TPT1",0,-4.12789659367407,0.209,0.992,0
"ZFAS1",0,-3.93742491841604,0.085,0.868,0
"RPL31",0,-3.95803842863737,0.19,0.973,0
"RPS10",0,-4.6602828365424,0.041,0.824,0
"ATP5MC2",0,-3.36439306922702,0.169,0.95,0
"RPL5",0,-4.94651992928915,0.211,0.991,0
"TMEM258",0,-3.99201483787119,0.051,0.831,0
"PXDNL",0,13.5797937149238,0.779,0.001,0
