"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3F3A",0,-18.6198391986019,0,0.979,0
"SLC25A6",0,-7.60496254918206,0.01,0.945,0
"H3F3B",0,-17.351353007242,0,0.89,0
"CD99",0,-8.4562454461405,0.004,0.848,0
"COX6A1",0,-4.46540112182934,0.076,0.917,0
"H2AFZ",0,-16.8168052325765,0,0.817,0
"HIST1H4C",0,-17.688327565766,0,0.809,0
"MT-RNR2",0,21.6204474256439,0.803,0,0
"AC104389.6",0,19.9447032128803,0.8,0,0
"SUMO2",0,-3.82146784124777,0.106,0.903,0
"HBA2",0,14.445674603202,0.792,0.001,0
"H2AFY",0,-15.8697881291835,0,0.788,0
"CALM2",0,-3.71916050825339,0.11,0.888,0
"RNF7",0,-6.01958247129864,0.013,0.791,0
"TMEM141",0,-3.91657149481541,0.057,0.79,0
"NARS",0,-15.5246211271834,0,0.73,0
"ITGB1",0,-2.82050148899083,0.18,0.894,0
"H1FX",0,-15.782195593421,0,0.709,0
"GTF2I",0,-2.75339879812218,0.152,0.858,0
"RAB13",0,-8.03623042335054,0.003,0.704,0
"LARS",0,-15.3436345856339,0,0.701,0
"HIGD2A",0,-2.900146868405,0.087,0.78,0
"TMEM14B",0,-2.94191180061737,0.118,0.805,0
"PRRC2C",0,-2.45938906153763,0.174,0.856,0
"VCAN",0,-2.30630650224748,0.182,0.863,0
"CCND2",0,-4.50378750350447,0.058,0.736,0
"KRT19",0,-3.3355966347592,0.114,0.788,0
"DSP",0,-2.7408951006508,0.22,0.892,0
"APOE",0,-2.56340419511593,0.193,0.865,0
"HBA1",0,15.2919027328148,0.67,0,0
"MRPS6",0,-4.59790817590969,0.029,0.693,0
"H2AFV",0,-15.1912649202363,0,0.659,0
"MT-ND6",0,-2.63286494040566,0.125,0.783,0
"HMGN2",0,-2.49425967111408,0.183,0.837,0
"CHD4",0,-2.19491903463939,0.18,0.828,0
"EPRS",0,-15.101995796592,0,0.647,0
"SPINT2",0,-6.14723701444038,0.01,0.653,0
"TPR",0,-2.01372594480197,0.187,0.83,0
"APLP2",0,-1.70651149056191,0.244,0.876,0
"PRKDC",0,-2.07632962808681,0.179,0.81,0
