,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
634,SGCD,122.88873,11.694961,0.0,0.0,11.694961
596,NALCN,122.90361,11.295931,0.0,0.0,11.295931
1302,PDK4,122.53274,11.225945,0.0,0.0,11.225945
1254,MYOM3,122.56971,11.196236,0.0,0.0,11.196236
165,FAM107A,123.09571,10.677579,0.0,0.0,10.677579
295,FAM151A,123.02822,10.342223,0.0,0.0,10.342223
866,ASB18,122.77366,10.341765,0.0,0.0,10.341765
183,TMEM178B,123.083084,10.254907,0.0,0.0,10.254907
595,CCSER1,122.90407,10.145326,0.0,0.0,10.145326
529,DGKG,122.92849,10.112336,0.0,0.0,10.112336
216,DNAH3,123.06776,10.088931,0.0,0.0,10.088931
48,NRXN3,123.18763,10.057127,0.0,0.0,10.057127
1105,AQP7,122.65488,10.0054865,0.0,0.0,10.0054865
217,IL16,123.06767,9.936602,0.0,0.0,9.936602
344,KCNIP2-AS1,123.00675,9.9097395,0.0,0.0,9.9097395
273,TMEFF2,123.039856,9.868137,0.0,0.0,9.868137
198,CACNA2D3,123.076515,9.836385,0.0,0.0,9.836385
127,CSGALNACT1,123.12018,9.826287,0.0,0.0,9.826287
168,GPC5,123.0904,9.819797,0.0,0.0,9.819797
178,TM4SF1-AS1,123.084175,9.789876,0.0,0.0,9.789876
87,FGF14,123.150665,9.725982,0.0,0.0,9.725982
789,SGCG,122.80854,9.634588,0.0,0.0,9.634588
247,ACSS1,123.05365,9.603749,0.0,0.0,9.603749
750,AZGP1,122.82937,9.5114155,0.0,0.0,9.5114155
1144,LINC01505,122.62848,9.46561,0.0,0.0,9.46561
986,C6,122.71662,9.461032,0.0,0.0,9.461032
1196,XIRP2,122.601555,9.382089,0.0,0.0,9.382089
1083,NRAP,122.661606,9.315567,0.0,0.0,9.315567
161,SLCO5A1,123.09856,9.3082285,0.0,0.0,9.3082285
43,GRIP2,123.196785,9.28088,0.0,0.0,9.28088
241,DIAPH2-AS1,123.05648,9.259953,0.0,0.0,9.259953
361,AGBL4,122.99781,9.2272005,0.0,0.0,9.2272005
26,GUCY2C,123.21561,9.205725,0.0,0.0,9.205725
