,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
2481,LINC02248,66.57711,12.509358,0.0,0.0,12.509358
504,NALCN,67.02171,12.375464,0.0,0.0,12.375464
237,AGBL4,67.07694,12.020505,0.0,0.0,12.020505
243,GPC5,67.074585,11.697926,0.0,0.0,11.697926
702,SYNPR,66.986176,11.536016,0.0,0.0,11.536016
462,SGCD,67.028725,11.472751,0.0,0.0,11.472751
13,CADM2,67.14189,11.322548,0.0,0.0,11.322548
254,IL16,67.07263,11.3015,0.0,0.0,11.3015
801,C6,66.96522,11.098491,0.0,0.0,11.098491
2289,MYOM3,66.64403,11.026127,0.0,0.0,11.026127
49,LGR6,67.12809,10.974499,0.0,0.0,10.974499
66,CACNA2D3,67.12079,10.911832,0.0,0.0,10.911832
14,TMEFF2,67.14183,10.828474,0.0,0.0,10.828474
57,TM4SF1-AS1,67.124954,10.793367,0.0,0.0,10.793367
174,KCNIP2-AS1,67.091736,10.64001,0.0,0.0,10.64001
313,NTN1,67.05894,10.617735,0.0,0.0,10.617735
213,PLA2G5,67.08182,10.613031,0.0,0.0,10.613031
429,TMEM178B,67.03615,10.391328,0.0,0.0,10.391328
349,CCSER1,67.05013,10.341756,0.0,0.0,10.341756
2278,PDK4,66.647896,10.286251,0.0,0.0,10.286251
778,LINC00513,66.96962,10.272385,0.0,0.0,10.272385
67,CSGALNACT1,67.12052,10.027778,0.0,0.0,10.027778
1005,SGCG,66.926254,10.011889,0.0,0.0,10.011889
492,UGT2B7,67.023636,9.994307,0.0,0.0,9.994307
248,ZBTB20-AS5,67.07421,9.972749,0.0,0.0,9.972749
586,WDR49,67.00714,9.901025,0.0,0.0,9.901025
678,DAPK2,66.98975,9.900903,0.0,0.0,9.900903
1164,IL1RAPL2,66.89694,9.873875,0.0,0.0,9.873875
153,RGS6,67.09772,9.810691,0.0,0.0,9.810691
212,AGTR1,67.082504,9.795748,0.0,0.0,9.795748
941,FGF14,66.938065,9.751569,0.0,0.0,9.751569
2310,ST7-AS2,66.63624,9.725674,0.0,0.0,9.725674
1049,FAM151A,66.91861,9.718371,0.0,0.0,9.718371
89,SLCO5A1,67.11334,9.715235,0.0,0.0,9.715235
657,RHBDL3,66.993935,9.671712,0.0,0.0,9.671712
1090,ACSS1,66.91046,9.670514,0.0,0.0,9.670514
34,SGSM1,67.132614,9.645603,0.0,0.0,9.645603
2,GRIK2,67.14928,9.63739,0.0,0.0,9.63739
211,CNTNAP5,67.08251,9.626139,0.0,0.0,9.626139
1490,ASB18,66.83325,9.62285,0.0,0.0,9.62285
1402,NUP210L,66.85379,9.574384,0.0,0.0,9.574384
1363,AQP7,66.86112,9.568236,0.0,0.0,9.568236
14825,VCAM1,-67.07699,-9.538951,0.0,0.0,9.538951
676,TCF24,66.990005,9.494709,0.0,0.0,9.494709
844,LRTM1,66.95595,9.409785,0.0,0.0,9.409785
672,DGKG,66.99052,9.381976,0.0,0.0,9.381976
186,GIPC2,67.08916,9.377792,0.0,0.0,9.377792
1689,RBFOX1,66.79412,9.333207,0.0,0.0,9.333207
103,MIR3681HG,67.10982,9.31354,0.0,0.0,9.31354
233,GUCY2C,67.07831,9.304187,0.0,0.0,9.304187
87,MLPH,67.11396,9.302382,0.0,0.0,9.302382
105,TRPC5,67.10925,9.278116,0.0,0.0,9.278116
14386,DEPDC1,-66.69915,-9.268006,0.0,0.0,9.268006
850,DIAPH2-AS1,66.954384,9.24316,0.0,0.0,9.24316
554,TPRG1,67.01283,9.227298,0.0,0.0,9.227298
44,MIR29B2CHG,67.130005,9.207323,0.0,0.0,9.207323
1330,HLF,66.86894,9.179638,0.0,0.0,9.179638
661,FAM107A,66.99272,9.176893,0.0,0.0,9.176893
748,PCDH15,66.977104,9.171429,0.0,0.0,9.171429
1536,ZNF365,66.82483,9.167369,0.0,0.0,9.167369
1650,RBMS3-AS2,66.800995,9.164897,0.0,0.0,9.164897
74,SNTG1,67.11837,9.150143,0.0,0.0,9.150143
968,KCND3,66.93233,9.147322,0.0,0.0,9.147322
772,DOCK3,66.97103,9.138078,0.0,0.0,9.138078
69,RASGEF1B,67.11982,9.126841,0.0,0.0,9.126841
653,DNER,66.99528,9.0613985,0.0,0.0,9.0613985
1088,DNAH3,66.910614,9.057071,0.0,0.0,9.057071
332,SNED1,67.05409,9.0559225,0.0,0.0,9.0559225
442,ANKFN1,67.03295,9.0545435,0.0,0.0,9.0545435
165,PTPRO,67.09428,9.017971,0.0,0.0,9.017971
2043,PGR,66.717735,8.964441,0.0,0.0,8.964441
2392,LINC01725,66.61058,8.961207,0.0,0.0,8.961207
1984,IDI2-AS1,66.73049,8.939817,0.0,0.0,8.939817
776,GALNTL6,66.969795,8.913859,0.0,0.0,8.913859
1282,ADRB1,66.87721,8.892128,0.0,0.0,8.892128
926,FAM182B,66.94063,8.879464,0.0,0.0,8.879464
1071,ABCD2,66.91289,8.862571,0.0,0.0,8.862571
1351,COL19A1,66.86442,8.847159,0.0,0.0,8.847159
2335,LINC01411,66.62547,8.816817,0.0,0.0,8.816817
607,GRM7,67.00263,8.803507,0.0,0.0,8.803507
239,ZNF536,67.076614,8.799395,0.0,0.0,8.799395
41,TDRD10,67.13133,8.798291,0.0,0.0,8.798291
63,ABCA9,67.12197,8.760856,0.0,0.0,8.760856
141,CCDC73,67.10019,8.753067,0.0,0.0,8.753067
14828,ANXA3,-67.09837,-8.751293,0.0,0.0,8.751293
144,MKNK1-AS1,67.09981,8.750268,0.0,0.0,8.750268
9,CPNE8,67.14592,8.738687,0.0,0.0,8.738687
376,KCNMB2-AS1,67.04592,8.733168,0.0,0.0,8.733168
1712,NKAIN2,66.788345,8.731556,0.0,0.0,8.731556
84,MYO16,67.115005,8.730277,0.0,0.0,8.730277
14773,HSPB2,-66.94058,-8.699182,0.0,0.0,8.699182
314,CLIC6,67.05888,8.69222,0.0,0.0,8.69222
14830,PTGES3L,-67.126495,-8.6855545,0.0,0.0,8.6855545
140,APBB1IP,67.10034,8.680926,0.0,0.0,8.680926
742,LINC01060,66.97854,8.643898,0.0,0.0,8.643898
128,CDH12,67.10291,8.63764,0.0,0.0,8.63764
72,DPYD,67.11858,8.608574,0.0,0.0,8.608574
452,PDE3A,67.03058,8.599133,0.0,0.0,8.599133
1367,USH2A,66.8603,8.588114,0.0,0.0,8.588114
118,EVA1C,67.10595,8.580445,0.0,0.0,8.580445
1570,EYA4,66.81722,8.575623,0.0,0.0,8.575623
370,LINC01483,67.046295,8.557131,0.0,0.0,8.557131
1439,IL1RAPL1,66.84515,8.546619,0.0,0.0,8.546619
311,DNAH17,67.05936,8.530674,0.0,0.0,8.530674
214,SYN3,67.08178,8.523915,0.0,0.0,8.523915
14826,MYZAP,-67.08815,-8.517595,0.0,0.0,8.517595
565,GRIP2,67.011345,8.492726,0.0,0.0,8.492726
601,NCKAP5,67.00405,8.491544,0.0,0.0,8.491544
109,ADAMTS17,67.10846,8.491056,0.0,0.0,8.491056
3,LINC01902,67.14926,8.490938,0.0,0.0,8.490938
594,CFLAR-AS1,67.004814,8.468186,0.0,0.0,8.468186
1427,KCNK13,66.847916,8.464871,0.0,0.0,8.464871
14819,TNNI1,-67.0466,-8.4567585,0.0,0.0,8.4567585
413,SLC12A1,67.03906,8.439577,0.0,0.0,8.439577
17,IL15,67.14159,8.430622,0.0,0.0,8.430622
834,SYCP3,66.95728,8.421401,0.0,0.0,8.421401
400,CPA6,67.041756,8.396511,0.0,0.0,8.396511
2119,UGT2B4,66.6988,8.391276,0.0,0.0,8.391276
94,ASB9,67.111176,8.382198,0.0,0.0,8.382198
750,GPA33,66.97614,8.3782015,0.0,0.0,8.3782015
2433,MLIP-AS1,66.593,8.375691,0.0,0.0,8.375691
21,LURAP1L-AS1,67.138084,8.355456,0.0,0.0,8.355456
2641,LINC01505,66.51611,8.320931,0.0,0.0,8.320931
680,CDH22,66.98942,8.306559,0.0,0.0,8.306559
948,SPDYE5,66.93641,8.286098,0.0,0.0,8.286098
964,PDZD2,66.932945,8.285137,0.0,0.0,8.285137
264,NAALADL2,67.07074,8.275263,0.0,0.0,8.275263
1619,PLIN4,66.80678,8.270296,0.0,0.0,8.270296
268,HS6ST3,67.069534,8.259044,0.0,0.0,8.259044
52,NTM,67.12754,8.247833,0.0,0.0,8.247833
1014,MEI4,66.92391,8.245986,0.0,0.0,8.245986
2199,PRKN,66.67505,8.23626,0.0,0.0,8.23626
634,LCNL1,66.99884,8.223946,0.0,0.0,8.223946
2030,HSF4,66.72008,8.2231655,0.0,0.0,8.2231655
455,LINC01414,67.02973,8.215761,0.0,0.0,8.215761
202,SSUH2,67.08591,8.213738,0.0,0.0,8.213738
1878,BRINP3,66.75423,8.2100315,0.0,0.0,8.2100315
12900,MKI67,-66.300026,-8.203455,0.0,0.0,8.203455
1407,BHMT2,66.85273,8.200014,0.0,0.0,8.200014
417,DOCK10,67.03833,8.19198,0.0,0.0,8.19198
275,ASIC2,67.066895,8.172055,0.0,0.0,8.172055
99,SLCO1C1,67.1107,8.164118,0.0,0.0,8.164118
961,LINC01841,66.93336,8.162923,0.0,0.0,8.162923
129,CPNE9,67.10269,8.122796,0.0,0.0,8.122796
55,PLA2R1,67.12721,8.100876,0.0,0.0,8.100876
25,LONRF3,67.13632,8.094472,0.0,0.0,8.094472
184,MALRD1,67.08973,8.077525,0.0,0.0,8.077525
106,PLAAT4,67.10914,8.062616,0.0,0.0,8.062616
114,NYAP2,67.10746,8.060793,0.0,0.0,8.060793
123,C8orf34,67.10586,8.05888,0.0,0.0,8.05888
1446,LINC01524,66.84344,8.02838,0.0,0.0,8.02838
13441,CENPF,-66.45011,-8.015925,0.0,0.0,8.015925
14625,KCTD12,-66.81784,-8.002675,0.0,0.0,8.002675
2323,NRAP,66.63097,7.9958897,0.0,0.0,7.9958897
12411,MICOS10,-65.95208,-7.9913006,0.0,0.0,7.9913006
2006,PPP1R42,66.72668,7.988752,0.0,0.0,7.988752
432,FAM81B,67.03527,7.988115,0.0,0.0,7.988115
14793,COL2A1,-66.96459,-7.987139,0.0,0.0,7.987139
1162,PDE7B,66.897026,7.9806776,0.0,0.0,7.9806776
14744,FXYD6,-66.90954,-7.9698944,0.0,0.0,7.9698944
14801,COX14,-66.97725,-7.960858,0.0,0.0,7.960858
1504,LINC01894,66.83045,7.954875,0.0,0.0,7.954875
14751,TMEM88,-66.9153,-7.9184084,0.0,0.0,7.9184084
93,FAR2,67.11145,7.917532,0.0,0.0,7.917532
1421,BMS1P14,66.8495,7.9096746,0.0,0.0,7.9096746
399,RHBDL2,67.04211,7.8957562,0.0,0.0,7.8957562
1083,TENM2,66.91129,7.893023,0.0,0.0,7.893023
14820,MRPL12,-67.05239,-7.870668,0.0,0.0,7.870668
591,CDH13,67.00554,7.8688307,0.0,0.0,7.8688307
2118,PDE1C,66.69922,7.8645773,0.0,0.0,7.8645773
13584,DBNDD2,-66.48466,-7.847033,0.0,0.0,7.847033
