,GeneID,logfc_Native_CM,logfc_Early_hipsc_CM,description
168,TRDN-AS1,6.2603917,-5.6597643,TRDN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40592]
10,NRAP,9.315567,-3.1863418,nebulin related anchoring protein [Source:HGNC Symbol;Acc:HGNC:7988]
126,CASQ2,6.7107887,-4.3837967,calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]
226,MYPN,5.878676,-4.8381076,myopalladin [Source:HGNC Symbol;Acc:HGNC:23246]
179,ASB11,6.1972938,-4.3557086,ankyrin repeat and SOCS box containing 11 [Source:HGNC Symbol;Acc:HGNC:17186]
244,MLIP,5.7288966,-4.6868505,muscular LMNA interacting protein [Source:HGNC Symbol;Acc:HGNC:21355]
87,ASB10,7.1034536,-3.7035046,ankyrin repeat and SOCS box containing 10 [Source:HGNC Symbol;Acc:HGNC:17185]
9,XIRP2,9.382089,-2.7995846,xin actin binding repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:14303]
72,CAV3,7.2872972,-3.37127,caveolin 3 [Source:HGNC Symbol;Acc:HGNC:1529]
1106,MYL2,2.928929,-8.349191,myosin light chain 2 [Source:HGNC Symbol;Acc:HGNC:7583]
386,ART3,5.0630407,-4.7818155,ADP-ribosyltransferase 3 (inactive) [Source:HGNC Symbol;Acc:HGNC:725]
587,CKMT2,4.2275686,-5.3634863,"creatine kinase, mitochondrial 2 [Source:HGNC Symbol;Acc:HGNC:1996]"
496,SLC5A1,4.641846,-4.8089757,solute carrier family 5 member 1 [Source:HGNC Symbol;Acc:HGNC:11036]
37,CD36,8.213509,-2.7136407,CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]
23,MLIP-AS1,8.769977,-2.5251117,MLIP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40963]
337,ESRRB,5.277363,-4.090654,estrogen related receptor beta [Source:HGNC Symbol;Acc:HGNC:3473]
651,SHISA3,-4.053574,5.2595415,shisa family member 3 [Source:HGNC Symbol;Acc:HGNC:25159]
459,SRL,4.762758,-4.400564,sarcalumenin [Source:HGNC Symbol;Acc:HGNC:11295]
675,FBXO40,3.9688125,-5.163967,F-box protein 40 [Source:HGNC Symbol;Acc:HGNC:29816]
509,TCF21,-4.5764937,4.4596896,transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632]
489,LAMA2,4.6647806,-4.362442,laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]
61,FGF12,7.5082855,-2.6869068,fibroblast growth factor 12 [Source:HGNC Symbol;Acc:HGNC:3668]
569,PCDH18,-4.3225656,4.625806,protocadherin 18 [Source:HGNC Symbol;Acc:HGNC:14268]
210,CXCL14,-5.984876,3.340443,C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]
817,SMCO1,3.6035218,-5.516591,single-pass membrane protein with coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:27407]
570,IGFBP3,-4.322527,4.5746803,insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]
431,AKAP6,4.8715167,-3.9610777,A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]
38,UGT2B4,8.187591,-2.3397949,UDP glucuronosyltransferase family 2 member B4 [Source:HGNC Symbol;Acc:HGNC:12553]
515,IGF2-AS,-4.5523725,4.196149,IGF2 antisense RNA [Source:HGNC Symbol;Acc:HGNC:14062]
888,MGP,-3.4217067,5.556865,matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]
1165,LUM,-2.7593129,6.890067,lumican [Source:HGNC Symbol;Acc:HGNC:6724]
367,RAMP2,-5.152412,3.6607955,receptor activity modifying protein 2 [Source:HGNC Symbol;Acc:HGNC:9844]
24,ST7-AS2,8.691226,-2.0883656,ST7 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:16044]
638,CFI,-4.076437,4.443547,complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]
424,MIR1-1HG,4.9131637,-3.6723413,MIR1-1 host gene [Source:HGNC Symbol;Acc:HGNC:16159]
537,PLCXD3,4.4758615,-3.9993765,phosphatidylinositol specific phospholipase C X domain containing 3 [Source:HGNC Symbol;Acc:HGNC:31822]
1103,CD93,-2.9366698,6.0058317,CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]
750,SPP1,-3.7773588,4.648702,secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]
33,KBTBD12,8.408525,-2.087343,kelch repeat and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:25731]
474,COL1A2,-4.7046094,3.730486,collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]
853,SPHKAP,3.5026903,-5.006266,"SPHK1 interactor, AKAP domain containing [Source:HGNC Symbol;Acc:HGNC:30619]"
894,FMOD,-3.4058669,5.1311216,fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]
874,GPAT3,3.4595566,-4.987802,glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]
666,GSTA1,-4.008961,4.2951713,glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:HGNC:4626]
107,VXN,6.917155,-2.487728,vexin [Source:HGNC Symbol;Acc:HGNC:28498]
759,THY1,-3.748364,4.5379167,Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]
527,FHL2,4.502583,-3.75383,four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]
247,NINJ2,5.706298,-2.9619696,ninjurin 2 [Source:HGNC Symbol;Acc:HGNC:7825]
277,RYR2,5.532159,-3.052265,ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]
950,MYH7B,3.2921238,-5.112373,myosin heavy chain 7B [Source:HGNC Symbol;Acc:HGNC:15906]
458,SNAI2,-4.765748,3.5263157,snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]
513,LRRTM1,-4.559039,3.6660933,leucine rich repeat transmembrane neuronal 1 [Source:HGNC Symbol;Acc:HGNC:19408]
590,SERPINE2,-4.2174134,3.9628985,serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]
222,BST2,-5.909618,2.8264108,bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]
441,EMILIN1,-4.835855,3.4385707,elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]
511,AMIGO2,-4.572627,3.633766,adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]
397,SEC14L5,5.0319963,-3.2441225,SEC14 like lipid binding 5 [Source:HGNC Symbol;Acc:HGNC:29032]
887,APLNR,-3.422878,4.678817,apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]
404,RGS4,-4.98593,3.2092986,regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]
302,BMP4,-5.4213877,2.9441192,bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]
356,GNG11,-5.1922083,3.069755,G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]
326,CACNB2,5.304665,-2.9825141,calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]
418,FXYD5,-4.939425,3.1945362,FXYD domain containing ion transport regulator 5 [Source:HGNC Symbol;Acc:HGNC:4029]
979,MYBPC3,3.2284935,-4.8770194,myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]
466,FOXC1,-4.7368174,3.305119,forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]
111,LRRTM3,6.8833947,-2.2616193,leucine rich repeat transmembrane neuronal 3 [Source:HGNC Symbol;Acc:HGNC:19410]
883,GDF7,-3.436261,4.525362,growth differentiation factor 7 [Source:HGNC Symbol;Acc:HGNC:4222]
423,S100A11,-4.923919,3.150177,S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]
783,S1PR5,-3.6894672,4.202106,sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:HGNC:14299]
440,TUBB3,-4.8364387,3.1787038,tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]
681,L1CAM,-3.960369,3.8734288,L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]
583,IFI16,-4.243011,3.6139154,interferon gamma inducible protein 16 [Source:HGNC Symbol;Acc:HGNC:5395]
76,PPP1R42,7.262746,-2.1089706,protein phosphatase 1 regulatory subunit 42 [Source:HGNC Symbol;Acc:HGNC:33732]
795,LOX,-3.6669874,4.1721525,lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]
345,EVA1B,-5.236769,2.9147117,eva-1 homolog B [Source:HGNC Symbol;Acc:HGNC:25558]
1390,PPP1R3A,2.3707087,-6.412298,protein phosphatase 1 regulatory subunit 3A [Source:HGNC Symbol;Acc:HGNC:9291]
92,MAOB,7.064354,-2.1405175,monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]
1294,DCN,-2.5207489,5.9983315,decorin [Source:HGNC Symbol;Acc:HGNC:2705]
1040,HAPLN1,-3.066476,4.9292235,hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]
220,VWC2,5.937458,-2.5449488,von Willebrand factor C domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30200]
462,LRRC32,-4.751283,3.1754797,leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:HGNC:4161]
896,IL32,-3.404324,4.4278765,interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]
438,IFITM1,-4.8439255,3.1115818,interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]
1248,TM4SF1,-2.6107135,5.7722526,transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]
