,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
14739,MYL2,-139.58324,-8.349191,0.0,0.0,8.349191
2287,FCN3,95.18405,8.203855,0.0,0.0,8.203855
14808,MYH7,-141.93292,-7.6939154,0.0,0.0,7.6939154
533,SAMD3,124.20208,7.1508155,0.0,0.0,7.1508155
1433,CDH5,108.186874,7.1430764,0.0,0.0,7.1430764
12453,ESM1,-73.288086,7.0381203,0.0,0.0,7.0381203
1204,TM4SF18,111.70307,6.9795017,0.0,0.0,6.9795017
649,F2RL2,121.800644,6.9426265,0.0,0.0,6.9426265
613,MYCT1,122.62639,6.914971,0.0,0.0,6.914971
1459,LUM,107.749756,6.890067,0.0,0.0,6.890067
1150,PLVAP,112.61463,6.7831335,0.0,0.0,6.7831335
14773,BANCR,-140.74742,-6.702481,0.0,0.0,6.702481
268,LINC02192,130.03465,6.674952,0.0,0.0,6.674952
5625,PECAM1,48.910374,6.6056833,0.0,0.0,6.6056833
3191,CD34,83.369255,6.5497403,0.0,0.0,6.5497403
1601,SOX18,105.492226,6.436642,0.0,0.0,6.436642
14758,PPP1R3A,-140.27092,-6.412298,0.0,0.0,6.412298
3248,GYPB,82.66639,6.3855314,0.0,0.0,6.3855314
34,ANPEP,138.62454,6.335642,0.0,0.0,6.335642
51,LGR5,137.67259,6.28606,0.0,0.0,6.28606
860,LINC00458,117.68369,6.2829947,0.0,0.0,6.2829947
2860,ESAM,87.71181,6.277295,0.0,0.0,6.277295
3755,SAMSN1,75.898605,6.2590055,0.0,0.0,6.2590055
14732,SAA2,-139.39508,-6.2445326,0.0,0.0,6.2445326
143,FENDRR,133.65099,6.2177973,0.0,0.0,6.2177973
14804,HSPB3,-141.72008,-6.217538,0.0,0.0,6.217538
14829,MYL3,-143.12192,-6.206078,0.0,0.0,6.206078
14798,FABP2,-141.55824,-6.201957,0.0,0.0,6.201957
24,PAMR1,139.12354,6.194513,0.0,0.0,6.194513
346,SOX17,128.1349,6.1922927,0.0,0.0,6.1922927
3323,ICAM2,81.776215,6.174337,0.0,0.0,6.174337
1452,GJA4,107.870056,6.1087837,0.0,0.0,6.1087837
736,NT5E,120.0038,6.0860248,0.0,0.0,6.0860248
14827,TCAP,-142.92549,-6.0717044,0.0,0.0,6.0717044
1080,LAPTM5,113.86466,6.0267525,0.0,0.0,6.0267525
